,index,name,uri,site,hash,min,max,currency
237,238,Data Science specialist,https://krasnogorsk.hh.ru/vacancy/37014405?query=ML,hh.ru,6999010aaa41b0abb34c7c5fafcaba0fd15ab3f5,,,
238,239,Разработчик Python (Развитие Bigdata),https://krasnogorsk.hh.ru/vacancy/35236202?query=ML,hh.ru,b3f4fba97a6c05509594adfb2c93cd11d14e5939,,,
239,240,Продуктовый и маркетинговый аналитик,https://krasnogorsk.hh.ru/vacancy/37008699?query=ML,hh.ru,faf034b29cb665f38e36038fd0e94ce3e6281d9d,,,
240,241,ML разработчик,https://krasnogorsk.hh.ru/vacancy/36949878?query=ML,hh.ru,78a268a7fde7f9a20c859784214581fa0fe3b6bc,,,
241,242,ML Engineer (Middle +),https://krasnogorsk.hh.ru/vacancy/36970508?query=ML,hh.ru,e846c7918db48a0c7142ed6509875ae790d058b2,,250000,руб.
242,243,Frontend Vue Developer,https://krasnogorsk.hh.ru/vacancy/37080498?query=ML,hh.ru,6b6416998a4cfaeb3489223f5537bc020b8913a5,,,
243,244,Программист Python,https://krasnogorsk.hh.ru/vacancy/36978531?query=ML,hh.ru,694a6251c1538e6568cf6864cc3352f18c9493c3,,,
244,245,ML/NLP Architect / ML/NLP Архитектор,https://krasnogorsk.hh.ru/vacancy/36742025?query=ML,hh.ru,faa22c1cd8bbff395f768ec5d5e42b7130e529d3,120000,,руб.
245,246,Technical Director of SaaS product,https://krasnogorsk.hh.ru/vacancy/37011667?query=ML,hh.ru,e04d13d1efe065f2f8787d1b7440e6d10cd862e7,,,
246,247,NLP Engineer / NLP инженер,https://krasnogorsk.hh.ru/vacancy/36741935?query=ML,hh.ru,bd73280a3186f9a535c1667d065619770fc464d7,120000,,руб.
247,248,Marketing Manager (global market),https://krasnogorsk.hh.ru/vacancy/37125980?query=ML,hh.ru,ed6787b649a43ebaa00211a21cab1004c806e316,,,
